Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
G0-12,1102,4,4,Ar/Ar,Metamorphic,marble,Muscovite,Ar Furnace-Step,Minimum Estimate,Grenville Province,ON,44.96673,-78.24977,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Bancroft terrane - unknown",Metamorphic,marble,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
G0-12,1148,6,6,Ar/Ar,Metamorphic,marble,Muscovite,Ar Furnace-Step,Maximum Estimate,Grenville Province,ON,44.96673,-78.24977,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Bancroft terrane - unknown",Metamorphic,marble,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
G0-1B,897,4,4,Ar/Ar,Metamorphic,marble,Phlogopite,Ar Furnace-Step,Direct,Grenville Province,ON,44.96673,-78.26644,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Bancroft terrane - unknown",Metamorphic,marble,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
WI-1A,1008,6,6,Ar/Ar,Metamorphic,not described,Phlogopite,Ar Furnace-Step,Minimum Estimate,Grenville Province,ON,45.03339,-78.21644,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Bancroft terrane - unknown",Metamorphic,not described,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
WI-1A,1039,8,8,Ar/Ar,Metamorphic,not described,Phlogopite,Ar Furnace-Step,Maximum Estimate,Grenville Province,ON,45.03339,-78.21644,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Bancroft terrane - unknown",Metamorphic,not described,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
WI-1B,908,6,6,Ar/Ar,Metamorphic,not described,Phlogopite,Ar Furnace-Step,Direct,Grenville Province,ON,45.02506,-78.2331,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Bancroft terrane - unknown",Metamorphic,not described,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
MC88-7,940,6,6,Ar/Ar,Metamorphic,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,44.45006,-76.97472,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Elzevir terrane - Elzevir",Metamorphic,amphibolite,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
FA86-4,1114,6,6,Ar/Ar,Metamorphic,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,44.48756,-76.45803,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Frontenac terrane - Frontenac",Metamorphic,amphibolite,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
FA86-5,1098,6,6,Ar/Ar,Metamorphic,amphibolite,Hornblende,Ar Furnace-Step,Estimate,Grenville Province,ON,44.57923,-76.41637,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Frontenac terrane - Frontenac",Metamorphic,amphibolite,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
FA86-6,1122,6,6,Ar/Ar,Metamorphic,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,44.45006,-76.70388,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Frontenac terrane - Frontenac",Metamorphic,amphibolite,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
MC88-2,1130,6,6,Ar/Ar,Metamorphic,gneiss,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,44.50006,-76.59138,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Frontenac terrane - Frontenac",Metamorphic,gneiss,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
FA86-1,1122,6,6,Ar/Ar,Metamorphic,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,44.59173,-76.30802,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Frontenac terrane - Perth Road mylonite zone",Metamorphic,amphibolite,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
MC88-5,1040,6,6,Ar/Ar,Metamorphic,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,44.83339,-76.5247,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Sharbot Lake terrane - Frontenac",Metamorphic,amphibolite,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
FA86-11,938,6,6,Ar/Ar,Metamorphic,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,44.75006,-76.91638,No topographic references given. Coordinates interpolated from sketch map in report.,"NCentral Metasedimentary Belt, Elzevir terrane - Elzevir",Metamorphic,amphibolite,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
