Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
E-GFTZ 91,924,0,0,Ar/Ar,Cooling,amphibolite,K-Feldspar,Ar Furnace-Step,Estimate,Grenville Province,ON,45.88893,-81.1332,N shore of Georgian Bay. Coordinates interpolated from regional-scale sketch map in report (approximate),Grenville Front tectonic zone (Eastern) - unknown,Metamorphic,amphibolite,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
T-GFTZ 49,927,8,8,Ar/Ar,Cooling,leucocratic granitoid gneiss,K-Feldspar,Ar Furnace-Step,Direct,Grenville Province,ON,45.91254,-80.86653,N shore of Georgian Bay. Coordinates interpolated from regional-scale sketch map in report (approximate),"Grenville Front, Transition Zone - unknown",Metamorphic,leucocratic granitoid gneiss,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
T-GFTZ 118,934,0,0,Ar/Ar,Cooling,dioritic orthogneiss,K-Feldspar,Ar Furnace-Step,Estimate,Grenville Province,ON,45.93615,-80.87903,N shore of Georgian Bay. Coordinates interpolated from regional-scale sketch map in report (approximate),"Grenville Front, Transition Zone - unknown",Metamorphic,dioritic orthogneiss,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
E-GFTZ 33,936,8,8,Ar/Ar,Cooling,megacrystic monzonite orthogneiss,K-Feldspar,Ar Furnace-Step,Direct,Grenville Province,ON,45.92087,-80.92903,N shore of Georgian Bay. Coordinates interpolated from regional-scale sketch map in report (approximate),Grenville Front tectonic zone (Eastern) - unknown,Metamorphic,megacrystic monzonite orthogneiss,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
T-GFTZ 38,936,7,7,Ar/Ar,Cooling,late pegmatite,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.91254,-80.92486,Small island just off N shore of Georgian Bay. Coordinates interpolated from regional-scale sketch map in report (approximate),"Grenville Front, Transition Zone - unknown",Plutonic,late pegmatite,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
T-GFTZ 108,937,7,7,Ar/Ar,Cooling,late pegmatite,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.90837,-80.80819,Coordinates interpolated from regional-scale sketch map in report (approximate),"Grenville Front, Transition Zone - unknown",Plutonic,late pegmatite,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
T-GFTZ 49,939,7,7,Ar/Ar,Cooling,leucocratic granitoid gneiss,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.91254,-80.86653,N shore of Georgian Bay. Coordinates interpolated from regional-scale sketch map in report (approximate),"Grenville Front, Transition Zone - unknown",Metamorphic,leucocratic granitoid gneiss,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
E-GFTZ 94,943,8,8,Ar/Ar,Cooling,amphibolite,K-Feldspar,Ar Furnace-Step,Direct,Grenville Province,ON,45.92087,-81.07904,N shore of Georgian Bay. Coordinates interpolated from regional-scale sketch map in report (approximate),Grenville Front tectonic zone (Eastern) - unknown,Metamorphic,amphibolite,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
E-GFTZ 103,985,8,8,Ar/Ar,Cooling,megacrystic monzonite orthogneiss,K-Feldspar,Ar Furnace-Step,Direct,Grenville Province,ON,45.91671,-80.9957,N shore of Georgian Bay. Coordinates interpolated from regional-scale sketch map in report (approximate),Grenville Front tectonic zone (Eastern) - unknown,Metamorphic,megacrystic monzonite orthogneiss,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
T-GFTZ 107,995,5,5,Ar/Ar,Cooling,granodioritic orthogneiss,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,45.90004,-80.82069,"N shore of Georgian Bay, map shows locality as offshore (small island?). Coordinates interpolated from regional-scale sketch map in report (approximate)","Grenville Front, Transition Zone - unknown",Metamorphic,granodioritic orthogneiss,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
E-GFTZ 103,996,5,5,Ar/Ar,Cooling,megacrystic monzonite orthogneiss,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,45.91671,-80.9957,N shore of Georgian Bay. Coordinates interpolated from regional-scale sketch map in report (approximate),Grenville Front tectonic zone (Eastern) - unknown,Metamorphic,megacrystic monzonite orthogneiss,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
E-GFTZ 33,997,8,8,Ar/Ar,Cooling,megacrystic monzonite orthogneiss,Hornblende,Ar Furnace-Step,Estimate,Grenville Province,ON,45.92087,-80.92903,N shore of Georgian Bay. Coordinates interpolated from regional-scale sketch map in report (approximate),Grenville Front tectonic zone (Eastern) - unknown,Metamorphic,megacrystic monzonite orthogneiss,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
T-GFTZ 49,1003,8,8,Ar/Ar,Cooling,leucocratic granitoid gneiss,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,45.91254,-80.86653,N shore of Georgian Bay. Coordinates interpolated from regional-scale sketch map in report (approximate),"Grenville Front, Transition Zone - unknown",Metamorphic,leucocratic granitoid gneiss,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
T-GFTZ 118,1010,8,8,Ar/Ar,Cooling,dioritic orthogneiss,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,45.93615,-80.87903,N shore of Georgian Bay. Coordinates interpolated from regional-scale sketch map in report (approximate),"Grenville Front, Transition Zone - unknown",Metamorphic,dioritic orthogneiss,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
E-GFTZ 102,1025,5,5,Ar/Ar,Cooling,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,45.93337,-80.99709,Approx. 1 km N of N shore of Georgian Bay. Coordinates interpolated from regional-scale sketch map in report (approximate),Grenville Front tectonic zone (Eastern) - unknown,Metamorphic,amphibolite,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
E-GFTZ 91,1048,8,8,Ar/Ar,Cooling,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,45.88893,-81.1332,N shore of Georgian Bay. Coordinates interpolated from regional-scale sketch map in report (approximate),Grenville Front tectonic zone (Eastern) - unknown,Metamorphic,amphibolite,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
E-GFTZ 91,1116,12,12,Ar/Ar,Cooling,amphibolite,Muscovite,Ar Furnace-Step,Estimate,Grenville Province,ON,45.88893,-81.1332,N shore of Georgian Bay. Coordinates interpolated from regional-scale sketch map in report (approximate),Grenville Front tectonic zone (Eastern) - unknown,Metamorphic,amphibolite,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
E-GFTZ 94,1124,8,8,Ar/Ar,Cooling,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,45.92087,-81.07904,N shore of Georgian Bay. Coordinates interpolated from regional-scale sketch map in report (approximate),Grenville Front tectonic zone (Eastern) - unknown,Metamorphic,amphibolite,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
