Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
CG(84)-172A,1654,5,5,U/Pb,Igneous Crystallization,garnetiferous quartz diorite,Zircon,TIMS,Estimate,Grenville Province,NL,53.89978,-56.93957,"Double Island, 15 km north-northwest of Cartwright, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Groswater Bay terrane - Tonalitic-granodioritic gneiss,Plutonic,garnetiferous quartz diorite,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
CG(84)-172B,1658,5,5,U/Pb,Igneous Crystallization,granodioritic to tonalitic gneiss,"Zircon, Titanite",TIMS,Direct,Grenville Province,NL,53.89978,-56.93957,"Double Island, 15 km north-northwest of Cartwright, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Groswater Bay terrane - Tonalitic-granodioritic gneiss,Plutonic,granodioritic to tonalitic gneiss,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
CG84-468A,1709,7,6,U/Pb,Igneous Crystallization,nebulitic granodiorite,"Zircon, Titanite",TIMS,Direct,Grenville Province,NL,54.18812,-57.43431,"Cuff Island, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Groswater Bay terrane - Tonalitic-granodioritic gneiss,Plutonic,nebulitic granodiorite,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
CG(84)-494,1029,2,2,U/Pb,Igneous Crystallization,microgranitic dyke,Monazite,TIMS,Direct,Grenville Province,NL,53.28423,-57.47793,"22 km southwest of Paradise River settlement, on Beaver Brook, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Hawke River terrane - Beaver Brook microgranite,Plutonic,microgranitic dyke,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
CG(84)-494,1566,13,13,U/Pb,Inheritance,microgranitic dyke,"Zircon, Monazite",TIMS,Direct,Grenville Province,NL,53.28423,-57.47793,"22 km southwest of Paradise River settlement, on Beaver Brook, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Hawke River terrane - Beaver Brook microgranite,Plutonic,microgranitic dyke,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
CG(84)-436,1671,4,4,U/Pb,Igneous Crystallization,hornblende quartz-diorite,Zircon,TIMS,Direct,Grenville Province,NL,53.53129,-57.28642,"Red Island, Sandwich Bay, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Hawke River terrane - Red Island quartz diorite,Plutonic,hornblende quartz-diorite,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
CG(83)-551,1296,13,12,U/Pb,Igneous Crystallization,syenite / granite,Zircon,TIMS,Direct,Grenville Province,NL,53.88618,-58.32377,"Upper North River (36 km east - southeast of Neveisik Island), Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Lake Melville terrane - North River granite / syenite,Plutonic,syenite / granite,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
Lab-13,1038,98,81,U/Pb,Pb Loss,tonalite gneiss,Zircon,TIMS,Estimate,Grenville Province,NL,53.85008,-60.41577,400 m north of Sebaskachu River. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers),Lake Melville terrane - Sebaskatchu tonalite,Plutonic,tonalite gneiss,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
Lab-13,1680,18,11,U/Pb,Igneous Crystallization,tonalite gneiss,Zircon,TIMS,Direct,Grenville Province,NL,53.85008,-60.41577,400 m north of Sebaskachu River. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers),Lake Melville terrane - Sebaskatchu tonalite,Plutonic,tonalite gneiss,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
CG(83)-554,1026,0,0,U/Pb,Metamorphic,granodiorite,Titanite,TIMS,Minimum Direct,Grenville Province,NL,53.97969,-58.84221,"Neveisik Island, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Lake Melville terrane - unknown,Plutonic,granodiorite,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
CG(83)-554,1678,6,6,U/Pb,Igneous Crystallization,granodiorite,"Zircon, Titanite",TIMS,Direct,Grenville Province,NL,53.97969,-58.84221,"Neveisik Island, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Lake Melville terrane - unknown,Plutonic,granodiorite,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
CG(84)-473,1038,0,0,U/Pb,Metamorphic,biotite amphibolite dyke,Zircon,TIMS,Estimate,Grenville Province,NL,53.88618,-58.32377,"Upper North River (36 km east - southeast of Neveisik Island), Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Lake Melville terrane - unnamed,Metamorphic,biotite amphibolite dyke,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
CG(84)-495,1030,2,2,U/Pb,Metamorphic,migmatitic orthogneiss,"Monazite, Titanite",TIMS,Direct,Grenville Province,NL,53.21145,-57.76266,"41 km southwest of Paradise River settlement, 1 km northwest of the informally named Second Choice Lake, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Mealy Mountains terrane - unknown,Metamorphic,migmatitic orthogneiss,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
CG(84)-495,1677,16,15,U/Pb,Protolith age,migmatitic orthogneiss,"Zircon, Monazite",TIMS,Direct,Grenville Province,NL,53.21145,-57.76266,"41 km southwest of Paradise River settlement, 1 km northwest of the informally named Second Choice Lake, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Mealy Mountains terrane - unknown,Metamorphic,migmatitic orthogneiss,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
